Plataforma,Genero,Anio de lanzamiento,Puntuacion de la critica,Puntuacion de los usuarios,Ventas globales (millones),Clasificacion ESRB,Modo multijugador,Modo historia,Valoracion Final
PS5,Simulacion,2024,8.1,2,9.2,E,No,No,5.05
PS4,Puzzle,2014,8.1,4,11.99,M,Si,No,6.05
PC,Carreras,2019,6.9,3,10.3,E10+,Si,No,4.95
Switch,Puzzle,2025,8.5,7,33.26,AO,No,No,7.75
Switch,Plataformas,2020,9.9,4,35.85,T,Si,Si,6.95
PS4,Deportes,2015,5.3,2,35.11,E10+,No,No,3.65
Switch,Simulacion,2020,6.9,4,30.6,AO,Si,No,5.45
PS5,Puzzle,2022,5.4,4,11.12,AO,No,No,4.7
Xbox One,Carreras,2016,8.9,1,43.63,AO,No,Si,4.95
Switch,Deportes,2025,5.6,9,4.59,T,Si,No,7.3
Xbox One,Estrategia,2017,8.8,2,28.75,E,No,No,5.4
PC,Aventura,2013,9.9,9,46.41,E,No,Si,9.45
PS4,Carreras,2016,7.2,7,25.31,T,No,Si,7.1
Xbox One,Estrategia,2019,7.7,4,39.04,AO,No,Si,5.85
PC,Deportes,2017,7.5,9,5.98,M,Si,No,8.25
Xbox One,Deportes,2017,7.6,3,36.5,T,No,No,5.3
Switch,Simulacion,2017,6.9,10,32.36,T,Si,No,8.45
PS5,Carreras,2020,8.8,1,47.1,AO,Si,No,4.9
PS4,Simulacion,2020,7.6,3,33.12,AO,Si,No,5.3
PS5,Simulacion,2021,7.4,5,31.65,M,Si,Si,6.2
Xbox One,Aventura,2014,6.9,10,37.8,T,Si,Si,8.45
Xbox One,Aventura,2020,5.1,7,25.79,M,No,Si,6.05
Switch,Puzzle,2024,7.5,5,25.29,E,No,Si,6.25
Xbox Series X,Puzzle,2020,6.4,3,46.05,T,No,No,4.7
Xbox Series X,Estrategia,2025,5,10,33.27,E,Si,Si,7.5
Switch,Simulacion,2025,7.9,3,13.51,E,Si,Si,5.45
Xbox Series X,Carreras,2024,8.4,5,2.69,AO,No,Si,6.7
Xbox Series X,Accion,2025,8.3,9,1.22,M,No,No,8.65
Xbox One,Accion,2019,7.4,7,6.87,E,Si,No,7.2
PC,Aventura,2015,5.9,10,27.34,M,No,No,7.95
PS5,Plataformas,2024,7.9,2,16.22,AO,No,No,4.95
PS5,Plataformas,2025,6.8,5,13.59,AO,No,No,5.9
Xbox One,RPG,2013,7.4,5,42.9,T,No,Si,6.2
PC,Deportes,2015,7.7,6,48.14,M,No,Si,6.85
PC,Carreras,2020,6.7,6,48.63,AO,Si,Si,6.35
Xbox Series X,Plataformas,2021,6.9,10,24.98,T,No,No,8.45
Xbox Series X,Simulacion,2020,8.2,9,16.97,T,Si,No,8.6
Xbox Series X,Carreras,2022,9,3,37.86,E10+,Si,Si,6
Switch,Puzzle,2024,10,8,18.79,AO,No,No,9
Xbox One,Carreras,2013,6.4,1,18.89,T,No,Si,3.7
PS5,Deportes,2023,10,5,42.37,E,No,Si,7.5
Xbox One,RPG,2020,5.7,10,28.83,E,No,Si,7.85
PC,Plataformas,2010,9.1,7,45.67,E,No,No,8.05
Xbox Series X,Simulacion,2022,5.5,8,8.1,M,No,No,6.75
Xbox Series X,Accion,2021,5.3,7,5.18,E,Si,Si,6.15
Switch,Simulacion,2019,8.9,5,35.65,E,No,No,6.95
PC,Accion,2017,8,5,24.96,M,Si,No,6.5
Xbox One,Estrategia,2019,8.3,9,3.54,E,Si,Si,8.65
PS4,Simulacion,2015,6.7,5,38.09,AO,No,Si,5.85
PS4,Deportes,2019,6.4,4,33.14,T,Si,No,5.2
Xbox One,Plataformas,2016,5.1,9,18.27,T,No,Si,7.05
Xbox One,Accion,2017,8.7,7,5.41,E10+,Si,Si,7.85
Xbox One,Accion,2015,7.3,5,27.29,M,Si,Si,6.15
Switch,Deportes,2018,8.8,9,4.91,T,Si,No,8.9
Xbox One,Plataformas,2016,8.9,6,29.26,E10+,Si,Si,7.45
Xbox One,Plataformas,2013,5.5,2,30.82,T,No,Si,3.75
PS5,Estrategia,2023,9.3,6,21.21,T,Si,No,7.65
Xbox One,Simulacion,2016,9.8,8,19.65,E10+,Si,Si,8.9
PC,Accion,2007,8.6,6,36.83,T,Si,Si,7.3
Switch,Plataformas,2018,7.7,2,16.17,AO,Si,No,4.85
Xbox Series X,Deportes,2021,6.9,1,3.18,T,Si,No,3.95
PS5,Deportes,2023,5.4,10,28.65,M,No,Si,7.7
PS5,Carreras,2024,9,4,41.68,M,No,Si,6.5
PC,Accion,2021,8.9,9,47.45,M,Si,No,8.95
PC,Estrategia,2005,5.5,5,48.25,M,No,Si,5.25
PC,Puzzle,2017,7,3,1.06,AO,Si,Si,5
PS5,Accion,2022,5.1,8,37.72,E,Si,Si,6.55
Switch,Accion,2017,9,3,38,T,No,No,6
PS5,Deportes,2024,6.9,2,12.39,E10+,No,Si,4.45
Xbox Series X,RPG,2021,7.8,3,32.96,M,No,No,5.4
PS4,RPG,2020,7.5,8,45.95,T,Si,No,7.75
PC,Carreras,2006,6,10,43.96,AO,Si,Si,8
PC,Simulacion,2025,7.7,5,16.22,E,Si,No,6.35
Switch,Plataformas,2020,8.4,1,24.38,E,Si,No,4.7
PC,Aventura,2015,5.1,10,44.22,T,Si,No,7.55
Switch,Puzzle,2021,9.5,6,19.91,AO,No,Si,7.75
PS5,Simulacion,2023,6.3,8,45.06,E,No,Si,7.15
Xbox Series X,Deportes,2022,8.5,3,46.72,T,No,No,5.75
Switch,Carreras,2021,7.3,10,20.15,T,No,No,8.65
PS4,Estrategia,2013,5.8,8,48.71,M,No,No,6.9
Xbox Series X,Carreras,2022,9,1,27.6,T,No,No,5
Switch,RPG,2024,8.2,1,24.21,E10+,Si,No,4.6
Xbox One,Aventura,2013,6.2,1,6.33,T,No,No,3.6
Switch,Simulacion,2025,8.9,2,47.41,T,Si,No,5.45
PS4,Accion,2014,6.5,7,44.51,E,No,No,6.75
PC,Estrategia,2016,8,5,27.48,AO,No,Si,6.5
Xbox One,Carreras,2017,8.1,9,29.03,M,Si,Si,8.55
Xbox Series X,Accion,2023,9.7,10,0.81,E10+,Si,Si,9.85
Switch,RPG,2021,5.3,9,22.11,E10+,Si,No,7.15
PS4,Plataformas,2020,9.9,5,48.96,E,No,Si,7.45
PC,Aventura,2008,6.8,6,7.62,E10+,No,Si,6.4
Switch,RPG,2020,7.3,9,27.57,E10+,Si,Si,8.15
PC,Aventura,2006,5.6,7,27.81,E10+,Si,No,6.3
PC,Plataformas,2005,5,3,49.18,T,No,No,4
Switch,Carreras,2020,7.8,4,37.67,M,Si,Si,5.9
Xbox Series X,Aventura,2023,9.4,8,22.16,M,No,No,8.7
PS4,Estrategia,2018,5.7,4,11.67,AO,No,Si,4.85
Xbox One,Plataformas,2017,8.1,9,23.44,M,Si,No,8.55
Xbox Series X,Accion,2022,8.4,1,36.02,T,Si,No,4.7
Switch,Plataformas,2022,9.1,1,2.37,E10+,No,No,5.05
PS4,Carreras,2019,5.9,9,39.22,T,Si,Si,7.45
Switch,Plataformas,2022,8.3,1,40.58,T,No,Si,4.65
Xbox One,Accion,2014,5,1,20.52,M,No,No,3
Xbox One,Carreras,2020,9.2,6,32.01,E10+,No,Si,7.6
PS5,Carreras,2024,8.3,1,13.14,AO,No,Si,4.65
Xbox Series X,Accion,2022,5.4,8,7.1,E10+,Si,Si,6.7
Xbox Series X,Deportes,2025,10,2,16.27,M,Si,Si,6
PC,Accion,2020,5.4,3,47.27,T,Si,Si,4.2
Switch,Puzzle,2019,5.2,6,38.32,E10+,No,No,5.6
PS5,Deportes,2020,6.8,10,33.59,T,No,Si,8.4
PS5,Carreras,2022,5.6,3,15.84,E10+,Si,Si,4.3
PC,Carreras,2015,7.2,8,35.25,E,Si,No,7.6
Xbox Series X,Deportes,2020,5.9,8,25.2,T,No,No,6.95
Switch,RPG,2018,5.7,2,30.16,E10+,Si,Si,3.85
PC,Estrategia,2025,9,1,35.82,M,Si,Si,5
Switch,Puzzle,2020,8.2,10,21.2,E10+,Si,Si,9.1
PS5,Puzzle,2021,6.8,3,47.49,E10+,No,Si,4.9
PC,Puzzle,2025,6.6,4,42.35,T,No,No,5.3
PC,Carreras,2016,7.1,9,19.12,M,No,No,8.05
PC,Estrategia,2017,5,9,14.47,M,Si,Si,7
PC,Simulacion,2022,5.3,4,40.55,AO,No,Si,4.65
Xbox Series X,Accion,2023,9.8,5,16.76,E10+,Si,Si,7.4
PS4,RPG,2015,7.3,3,8.51,E10+,No,No,5.15
Xbox Series X,Deportes,2025,7.3,5,19.24,AO,Si,Si,6.15
PC,Puzzle,2009,8.3,1,31.32,E10+,Si,No,4.65
PS4,Plataformas,2013,6.4,9,45.28,AO,Si,No,7.7
PC,Estrategia,2023,6.6,8,10.44,M,No,Si,7.3
Xbox Series X,Aventura,2024,5.1,8,22.66,M,No,Si,6.55
Switch,Aventura,2022,6.8,8,37.54,T,No,No,7.4
PC,Aventura,2016,6.6,8,44.98,E,No,No,7.3
PS5,Puzzle,2022,5.6,10,22.55,T,Si,Si,7.8
Switch,Puzzle,2021,6,8,13.87,AO,Si,No,7
PC,Simulacion,2010,6.8,4,1.53,E10+,No,No,5.4
Switch,Simulacion,2024,6,6,10.82,E10+,No,Si,6
PC,Plataformas,2012,6,2,22.59,AO,Si,No,4
Switch,Simulacion,2022,5.1,8,17.6,T,Si,No,6.55
Xbox Series X,Plataformas,2023,6.5,7,10.2,E,Si,No,6.75
PS4,Aventura,2018,9.1,3,26.98,T,No,Si,6.05
PS5,Simulacion,2025,7.1,1,38.86,E,Si,No,4.05
PS4,Puzzle,2014,6,1,8.42,AO,No,No,3.5
Switch,RPG,2024,8.8,3,4.59,E,No,Si,5.9
Xbox One,Deportes,2013,8.7,4,25.4,T,No,Si,6.35
Xbox Series X,Accion,2023,9.8,6,48.31,AO,Si,No,7.9
Switch,Plataformas,2018,5.1,8,33.44,AO,Si,No,6.55
Xbox One,Estrategia,2020,6.8,6,2.43,E,Si,Si,6.4
PS4,Simulacion,2015,8,8,2.69,E,Si,No,8
Switch,Puzzle,2023,6.7,7,34.49,E10+,No,No,6.85
PC,Simulacion,2018,8.7,9,28.03,T,Si,No,8.85
Xbox One,Accion,2020,6.7,10,9.32,E,No,Si,8.35
Xbox One,Plataformas,2020,5.4,3,36.04,M,Si,No,4.2
Switch,Estrategia,2022,7,9,11.13,E10+,No,No,8
Switch,Deportes,2017,6.9,8,5.83,AO,Si,No,7.45
PS4,Simulacion,2018,7.8,10,41.41,AO,Si,No,8.9
Switch,Simulacion,2022,9.4,10,12.93,AO,No,No,9.7
Xbox One,Simulacion,2018,8.1,6,44.94,M,No,Si,7.05
PS5,RPG,2022,9.6,6,19.84,E,Si,No,7.8
PS4,Accion,2020,7.2,5,34.75,M,Si,Si,6.1
Switch,Simulacion,2019,7,4,46.22,E,Si,Si,5.5
PS4,Simulacion,2015,8.5,10,18.87,E,No,No,9.25
PC,Plataformas,2024,8.8,3,41.25,M,Si,Si,5.9
Xbox Series X,RPG,2025,5.1,8,49.36,M,Si,No,6.55
PS4,Puzzle,2018,7.3,2,20.49,E,No,Si,4.65
PC,Puzzle,2018,9.3,6,20.37,E10+,No,Si,7.65
Xbox Series X,Accion,2025,8.5,3,21.98,AO,Si,Si,5.75
Xbox Series X,Accion,2023,9.2,4,48.45,T,Si,Si,6.6
PC,Carreras,2011,8.9,9,23.44,AO,No,No,8.95
PS4,RPG,2013,5.9,4,2.88,AO,No,Si,4.95
Xbox Series X,Deportes,2020,9.6,10,35.69,M,No,No,9.8
Xbox One,Deportes,2018,8.1,10,10.03,AO,Si,No,9.05
PS4,Estrategia,2016,5.8,9,28.44,M,No,No,7.4
Switch,Aventura,2022,7,8,28.44,T,No,Si,7.5
Xbox One,Accion,2016,9.3,3,18.43,M,No,Si,6.15
PS4,RPG,2013,7.5,4,37.41,AO,No,No,5.75
Xbox Series X,RPG,2022,6.6,4,20.07,M,Si,Si,5.3
Switch,Simulacion,2021,9.8,10,31.59,AO,No,Si,9.9
Switch,Estrategia,2023,6.6,5,36.52,T,Si,Si,5.8
Xbox One,RPG,2015,7.9,3,40.21,E10+,Si,Si,5.45
Xbox Series X,Carreras,2023,7.6,7,19.93,E10+,No,Si,7.3
PS5,Plataformas,2023,7.1,3,25.11,E,Si,No,5.05
Xbox Series X,Puzzle,2024,7.6,5,22.95,E,Si,Si,6.3
Xbox Series X,Accion,2020,9.7,5,21.36,AO,No,Si,7.35
PS4,Estrategia,2020,6.6,5,19.13,AO,No,No,5.8
Switch,Plataformas,2019,8.4,6,16.38,M,No,No,7.2
Xbox Series X,Carreras,2024,7.8,10,32.73,E10+,No,Si,8.9
Xbox One,Simulacion,2016,7.5,6,2.62,AO,No,No,6.75
PS5,Accion,2020,5.2,1,33.37,T,Si,Si,3.1
Switch,Puzzle,2025,5.4,3,9.01,AO,Si,Si,4.2
PS5,Simulacion,2024,8.2,9,29.17,T,No,Si,8.6
PS4,Simulacion,2016,6.8,2,42.49,AO,No,No,4.4
Xbox One,Aventura,2015,8.9,9,43.2,E,Si,No,8.95
PC,Plataformas,2017,5.4,8,7.77,M,No,No,6.7
PC,Estrategia,2011,6.3,4,17.87,AO,Si,No,5.15
PC,Deportes,2008,6.6,9,11.06,AO,Si,No,7.8
Xbox Series X,Puzzle,2023,7.5,9,10.92,E,Si,Si,8.25
Xbox Series X,Simulacion,2021,9.1,3,19.06,M,Si,No,6.05
PS4,Puzzle,2018,5.5,9,10.72,M,No,No,7.25
PC,Accion,2011,5.7,10,22.27,AO,No,Si,7.85
Xbox Series X,Simulacion,2020,10,3,39.01,T,Si,No,6.5
PS5,Plataformas,2021,6.2,5,4.95,E,No,Si,5.6
PS4,RPG,2020,8.7,6,12.74,AO,No,No,7.35
Xbox One,Puzzle,2019,5.7,9,39.79,AO,Si,Si,7.35
Xbox One,Aventura,2013,9.8,8,32.98,AO,Si,No,8.9
PS5,Carreras,2021,7.3,4,16.85,M,No,Si,5.65
PC,Plataformas,2025,6.4,5,13.3,T,No,No,5.7
PC,Puzzle,2019,7.7,5,35.16,E,No,No,6.35
Xbox Series X,Estrategia,2022,10,10,37.44,M,No,No,10
PC,Aventura,2022,8.8,6,20.84,M,Si,Si,7.4
Xbox One,Estrategia,2019,9,9,5.49,M,Si,No,9
PS4,Aventura,2013,9.9,5,18.08,T,No,No,7.45
Switch,Accion,2025,9,2,17.18,E,Si,Si,5.5
Xbox Series X,Estrategia,2021,7.3,10,48.96,E10+,Si,No,8.65
Switch,Estrategia,2020,7.7,2,25.64,M,No,No,4.85
Switch,Accion,2019,8,9,43.65,E10+,No,Si,8.5
PS4,RPG,2018,8.3,3,10.89,E,Si,Si,5.65
Xbox One,Accion,2014,6.7,3,32.35,M,No,Si,4.85
Switch,Puzzle,2022,9.6,10,5.92,E10+,No,No,9.8
Xbox Series X,Simulacion,2021,6.6,4,38.93,T,No,Si,5.3
PS5,Estrategia,2021,8.9,1,25.35,E,No,Si,4.95
PS4,Carreras,2019,8.2,8,18.17,M,No,Si,8.1
PS4,Estrategia,2017,9.1,6,5.61,E,No,Si,7.55
Xbox One,Puzzle,2020,9.8,3,30.37,E,Si,No,6.4
PS4,Simulacion,2017,6.5,4,32.97,E10+,No,Si,5.25
Xbox One,RPG,2016,9.5,4,3.52,M,No,No,6.75
PS4,Deportes,2013,5.3,8,31.87,AO,Si,No,6.65
Xbox One,Estrategia,2020,7.9,5,10.24,M,Si,Si,6.45
Xbox Series X,Aventura,2024,7,7,29.71,M,Si,Si,7
Xbox Series X,Deportes,2023,5.3,2,43.79,AO,No,No,3.65
Switch,RPG,2024,7.2,10,39.67,E10+,No,Si,8.6
PS4,Simulacion,2020,5.7,10,28.02,AO,Si,No,7.85
Xbox One,Simulacion,2020,5,2,36.95,M,Si,No,3.5
Switch,Plataformas,2022,8.5,9,7.2,E,Si,Si,8.75
Xbox Series X,Aventura,2024,10,4,39.99,E10+,No,Si,7
Xbox Series X,Puzzle,2022,8,6,35.82,E,Si,No,7
Xbox Series X,RPG,2025,6.2,4,45.47,E10+,Si,No,5.1
PS4,RPG,2018,9.5,2,34.19,E,No,No,5.75
Xbox One,Estrategia,2014,7.8,8,23.05,M,Si,Si,7.9
Xbox One,RPG,2018,5.4,6,8.56,M,No,Si,5.7
Xbox One,Estrategia,2016,8.5,2,49.32,E,No,Si,5.25
PC,Plataformas,2023,9.6,10,8.04,AO,No,Si,9.8
PS4,Estrategia,2019,7,10,9.27,M,No,Si,8.5
Switch,Simulacion,2020,6,6,47.5,E10+,Si,No,6
PS5,Deportes,2021,7.9,9,25.66,E10+,No,Si,8.45
Xbox One,Carreras,2015,9.9,9,5.98,T,No,No,9.45
PS4,Aventura,2014,7.1,9,44.95,AO,Si,No,8.05
Xbox One,Plataformas,2014,9.3,10,19.08,E,No,No,9.65
PC,Simulacion,2005,6.4,5,45.56,E10+,Si,Si,5.7
PS5,Plataformas,2025,9.8,9,47.36,E,No,No,9.4
PS5,Accion,2023,8.9,1,13.68,T,Si,Si,4.95
Xbox Series X,Accion,2023,5.5,7,4.68,E,No,No,6.25
Switch,Deportes,2025,6.2,8,44.14,M,Si,Si,7.1
Switch,Plataformas,2017,8.1,1,18.26,E,Si,Si,4.55
PS5,Estrategia,2025,8.9,3,2.28,AO,Si,Si,5.95
PS4,Plataformas,2020,7,3,47.42,M,Si,Si,5
Xbox Series X,Deportes,2024,9.9,1,42.7,M,No,Si,5.45
PS5,Puzzle,2021,9.8,1,8.17,E,No,No,5.4
PC,Simulacion,2015,9.8,6,39.07,E10+,Si,Si,7.9
Xbox One,Carreras,2018,5.6,10,30.11,E10+,No,Si,7.8
PS4,Estrategia,2015,8.3,8,32.27,AO,No,No,8.15
PS5,RPG,2023,5.1,1,0.99,E10+,Si,Si,3.05
Xbox Series X,Estrategia,2021,5.4,2,24.16,E,Si,No,3.7
PS4,Puzzle,2016,6.8,2,41.09,E,Si,No,4.4
Switch,Plataformas,2024,8,7,31.18,AO,Si,Si,7.5
Switch,Estrategia,2024,5.3,3,34.74,M,No,No,4.15
PS4,RPG,2013,9.9,7,44.41,M,Si,Si,8.45
PC,RPG,2025,8.8,9,3.66,E,Si,Si,8.9
PS4,Deportes,2014,9.3,9,7.42,E,Si,No,9.15
Xbox One,Carreras,2018,9.9,4,13.45,E10+,No,No,6.95
PS4,Estrategia,2019,5,9,28.61,E10+,No,No,7
PC,Aventura,2023,5.2,7,3.21,M,No,No,6.1
Xbox Series X,Accion,2024,7.9,10,11.35,E,Si,No,8.95
Xbox One,Carreras,2019,7.7,5,11.73,E10+,Si,No,6.35
Xbox Series X,Plataformas,2024,7.3,1,46.63,E10+,No,No,4.15
PS5,RPG,2020,6.8,5,17.53,M,No,No,5.9
Xbox One,Aventura,2017,6.4,10,31.2,AO,Si,No,8.2
PS5,Carreras,2020,7.7,3,47.15,M,Si,Si,5.35
PC,Estrategia,2005,5.6,7,25.15,AO,No,Si,6.3
Xbox One,Estrategia,2018,8.8,3,28.88,AO,Si,No,5.9
PC,RPG,2025,6.9,3,37.45,AO,No,Si,4.95
PC,Plataformas,2014,8.9,8,7.59,AO,Si,Si,8.45
Xbox One,Puzzle,2017,8,5,3.92,AO,Si,No,6.5
Xbox Series X,Plataformas,2023,6.5,6,40.93,E10+,No,No,6.25
PS5,Aventura,2025,7.6,10,31.64,AO,Si,Si,8.8
PS4,RPG,2019,7.9,5,14.96,E10+,Si,Si,6.45
PS4,Accion,2013,8.5,5,45.72,E10+,Si,Si,6.75
PS4,Deportes,2014,6.8,3,44.5,T,No,Si,4.9
Switch,RPG,2020,5,1,44.49,E10+,No,Si,3
Xbox Series X,Puzzle,2021,7.1,5,5.51,AO,Si,Si,6.05
PS4,RPG,2020,7,1,10.99,AO,Si,Si,4
PS5,Estrategia,2020,9.1,4,12.68,T,No,Si,6.55
Xbox Series X,Plataformas,2024,6.6,7,36.85,E10+,Si,Si,6.8
PS4,Puzzle,2019,8.1,2,33.39,E10+,No,Si,5.05
PS5,RPG,2021,8.8,1,10.61,E10+,No,Si,4.9
Xbox One,Simulacion,2019,5.8,5,35.86,E,No,No,5.4
Xbox Series X,Estrategia,2024,7.8,2,34.79,T,Si,No,4.9
Xbox Series X,Accion,2023,6.1,10,41.13,M,No,No,8.05
Xbox One,Carreras,2016,5,2,47.93,AO,Si,No,3.5
PS5,Plataformas,2020,6.5,2,33.14,T,Si,No,4.25
Xbox Series X,Deportes,2024,5.8,8,45.92,AO,No,No,6.9
Xbox One,Plataformas,2019,8,1,30.78,T,Si,Si,4.5
PS4,Accion,2018,6.7,6,45.52,E10+,Si,No,6.35
Xbox Series X,Deportes,2022,7.3,1,17.33,T,Si,No,4.15
PS5,Plataformas,2020,9.1,2,30.9,E10+,Si,No,5.55
Xbox Series X,Plataformas,2022,8.4,7,13.61,E10+,Si,Si,7.7
Switch,RPG,2021,6.4,6,15.49,AO,No,Si,6.2
Xbox One,Estrategia,2014,8.3,10,6.03,E,No,Si,9.15
PS5,RPG,2022,9.3,2,37.17,T,Si,No,5.65
Xbox One,Aventura,2015,9.9,4,30.65,AO,Si,Si,6.95
PC,Estrategia,2007,8.8,6,9.2,E,No,Si,7.4
PS5,Simulacion,2024,6.9,2,17.76,AO,Si,No,4.45
Xbox Series X,Carreras,2024,7,2,24.23,M,No,Si,4.5
Xbox One,Carreras,2017,5,4,36.49,M,Si,No,4.5
Xbox One,RPG,2014,8.1,10,42.29,M,No,Si,9.05
PS4,Carreras,2020,9.7,8,34.93,E10+,No,No,8.85
PS5,Aventura,2025,5,3,41.97,AO,No,Si,4
Xbox Series X,Carreras,2023,8.6,10,6.08,M,Si,Si,9.3
Xbox One,Puzzle,2016,5.8,4,43.56,AO,No,No,4.9
PC,Accion,2017,6.5,5,17.5,T,Si,Si,5.75
PS5,Carreras,2023,5.6,2,42.54,M,No,No,3.8
PS5,Aventura,2023,6.7,5,44.35,E,No,No,5.85
PC,RPG,2014,6.8,9,19.64,E,Si,Si,7.9
Xbox One,Simulacion,2017,5,4,25.09,M,Si,Si,4.5
PC,Deportes,2020,5.4,8,14.8,T,Si,Si,6.7
Xbox One,Carreras,2015,7.8,4,10.83,T,Si,No,5.9
PC,Deportes,2012,7.7,1,23.19,E10+,Si,Si,4.35
PS4,Plataformas,2019,5.5,1,7.66,E10+,Si,No,3.25
PC,RPG,2024,5.2,1,29.7,E,Si,No,3.1
PS5,Deportes,2022,6.9,2,43.62,M,Si,No,4.45
PS5,Plataformas,2024,6.9,6,37.35,T,No,No,6.45
PS4,Plataformas,2018,7.4,7,38.35,T,Si,No,7.2
PS5,Deportes,2025,7.3,6,22.78,E10+,No,No,6.65
PS4,RPG,2015,5.6,1,12.46,T,No,No,3.3
Xbox Series X,RPG,2020,9.3,7,47.64,AO,Si,Si,8.15
PS4,Accion,2017,5.8,2,30.66,T,No,No,3.9
PS5,Puzzle,2023,8.3,10,1.78,AO,Si,No,9.15
PS4,Simulacion,2016,5.2,4,44.97,E,No,No,4.6
Xbox One,Simulacion,2014,6.8,9,49.63,E,Si,No,7.9
Xbox One,Simulacion,2015,9.1,4,20.4,AO,Si,No,6.55
PS4,Deportes,2018,8.8,10,41.09,T,Si,No,9.4
PS5,Accion,2022,9.7,3,40.32,E10+,Si,No,6.35
PS5,Carreras,2023,9.4,2,47.01,T,No,Si,5.7
PC,Estrategia,2021,5.9,4,39.22,E10+,Si,Si,4.95
Xbox One,Plataformas,2013,9.5,7,18.29,E,Si,Si,8.25
PC,RPG,2005,5.7,4,26.45,E,Si,No,4.85
Xbox Series X,Carreras,2021,9.1,8,26.76,E10+,Si,Si,8.55
Xbox One,Aventura,2015,5.6,9,35.94,E,Si,No,7.3
Switch,Carreras,2024,7.8,10,38.55,AO,Si,No,8.9
Switch,Accion,2020,6.8,7,34.11,M,Si,Si,6.9
PS5,Aventura,2020,5.1,6,47.71,T,No,Si,5.55
PS4,Estrategia,2020,6.5,10,41.33,E,No,Si,8.25
PS4,Plataformas,2013,8.6,2,45.79,M,No,No,5.3
Xbox Series X,RPG,2021,8.7,1,49.63,E,No,Si,4.85
Switch,Estrategia,2025,9.3,9,17.02,M,No,Si,9.15
PS5,Accion,2023,8.8,10,40.64,M,No,Si,9.4
Switch,Puzzle,2017,5.7,1,5.83,E,Si,Si,3.35
Switch,Plataformas,2017,9.8,5,15.34,AO,Si,No,7.4
PC,Estrategia,2019,5.2,10,0.17,T,No,No,7.6
Xbox Series X,Deportes,2021,6.7,5,25.16,E,Si,No,5.85
Xbox One,Carreras,2017,6.1,1,39.28,AO,No,Si,3.55
Xbox Series X,Plataformas,2020,6.9,6,13.88,AO,Si,Si,6.45
Switch,Plataformas,2025,7.9,2,5.39,E,No,No,4.95
Switch,Estrategia,2025,5.9,9,4.32,E10+,Si,No,7.45
PC,Puzzle,2012,8.7,7,48.97,E,No,No,7.85
PC,Simulacion,2015,8,10,7.56,T,No,Si,9
PS5,Plataformas,2022,7.6,6,8.03,E,Si,No,6.8
PS4,Carreras,2013,9.4,9,24.38,T,Si,Si,9.2
Switch,Simulacion,2021,6,9,20.06,E,Si,Si,7.5
PC,Plataformas,2016,9,10,37.87,E10+,No,No,9.5
Xbox Series X,RPG,2025,8.3,10,36.27,E,Si,Si,9.15
PS5,Simulacion,2021,7.5,10,9.34,T,Si,No,8.75
PS4,Deportes,2016,9.2,2,3.11,E,No,Si,5.6
Xbox One,Accion,2016,8.3,9,20.94,AO,Si,Si,8.65
Switch,Accion,2025,9.4,2,21.81,T,No,No,5.7
PS5,Accion,2022,8.5,7,49.19,AO,No,No,7.75
PC,Simulacion,2019,8.4,10,42.13,T,No,Si,9.2
Switch,RPG,2018,5.3,3,20.12,E10+,No,Si,4.15
Switch,Deportes,2020,6.6,9,1.59,M,No,Si,7.8
PC,Puzzle,2007,8.8,6,41.8,E,No,No,7.4
Xbox One,Deportes,2020,8.5,2,4.15,M,Si,Si,5.25
Switch,Plataformas,2025,9.9,3,42.76,T,Si,No,6.45
Xbox Series X,RPG,2021,8.8,10,23.48,AO,Si,Si,9.4
Xbox One,Aventura,2020,5.8,4,20.91,E,No,No,4.9
Xbox Series X,Estrategia,2021,7.2,2,21.13,E10+,Si,No,4.6
PS5,Carreras,2025,7.3,9,14.8,M,No,No,8.15
Xbox One,Carreras,2014,8.8,9,3.46,M,No,Si,8.9
Switch,Estrategia,2020,8.9,10,41.32,E10+,No,No,9.45
PC,Estrategia,2022,10,3,24.84,M,No,No,6.5
PC,Accion,2022,5,9,23.53,E,No,Si,7
PS4,Estrategia,2018,7.6,8,46.12,T,No,Si,7.8
Switch,Puzzle,2025,8.6,6,25.21,AO,No,No,7.3
Switch,Carreras,2022,7.2,7,15.67,M,No,No,7.1
Xbox Series X,Deportes,2023,7.9,9,2.16,M,No,No,8.45
Switch,Estrategia,2023,9.1,8,31.25,M,No,No,8.55
Switch,Plataformas,2018,6.8,9,12.13,E,Si,Si,7.9
PS5,Aventura,2025,8.6,3,19.15,M,Si,No,5.8
Xbox One,RPG,2019,7.8,8,39.61,E,Si,Si,7.9
PC,Puzzle,2018,9.5,4,5.59,AO,No,No,6.75
PS4,Simulacion,2020,6.5,4,8.87,E10+,Si,No,5.25
Switch,Carreras,2024,9.1,1,37.13,E10+,No,Si,5.05
PC,RPG,2022,9.1,2,15.76,E,No,No,5.55
PS4,Deportes,2018,8.5,2,44.28,AO,Si,No,5.25
PS5,Simulacion,2020,5.2,9,29.68,T,No,No,7.1
PC,Carreras,2011,7.6,3,12.34,AO,No,No,5.3
Xbox Series X,Simulacion,2020,9.6,1,9.47,M,No,No,5.3
PS4,Deportes,2019,8.3,7,10.76,E10+,No,No,7.65
PS5,Deportes,2021,5.2,9,6.49,E10+,No,No,7.1
